win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std,run_id,scenario_id,y_multiclass,is_anomaly
1,5.0,10.0,68,13.6,68,0,0,4,0.3676470588235294,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-133137_baseline_seed12345,baseline,0,0
2,10.0,15.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-133137_baseline_seed12345,baseline,0,0
3,15.0,20.0,80,16.0,76,4,0,4,0.325,0.0,1,0.0,0,0.0,0.0,0.0,63.625,8.481413502477048,20260127-133137_baseline_seed12345,baseline,0,0
4,20.0,25.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,1,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554,20260127-133137_baseline_seed12345,baseline,0,0
5,25.0,30.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-133137_baseline_seed12345,baseline,0,0
6,30.0,35.0,68,13.6,68,0,0,4,0.3529411764705882,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-133137_baseline_seed12345,baseline,0,0
7,35.0,40.0,74,14.8,72,2,0,4,0.3243243243243243,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425,20260127-133137_baseline_seed12345,baseline,0,0
8,40.0,45.0,78,15.6,74,4,0,4,0.3205128205128205,0.0,1,0.0,0,0.0,0.0,0.0,63.6025641025641,8.479749245793288,20260127-133137_baseline_seed12345,baseline,0,0
9,45.0,50.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,1,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587,20260127-133137_baseline_seed12345,baseline,0,0
10,50.0,55.0,70,14.0,70,0,0,4,0.3571428571428571,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5,20260127-133137_baseline_seed12345,baseline,0,0
1,5.0,10.0,716,143.2,714,2,0,6,0.4497206703910614,0.0,1,0.0,0,0.0,0.0,0.0,64.07402234636872,8.512977016031375,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
2,10.0,15.0,710,142.0,710,0,0,6,0.452112676056338,0.0,0,0.0,0,0.0,0.0,0.0,64.09436619718309,8.514170248522719,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
3,15.0,20.0,718,143.6,712,6,0,6,0.447075208913649,0.0,1,0.0,0,0.0,0.0,0.0,63.977715877437326,8.51049192333874,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
4,20.0,25.0,720,144.0,716,4,0,6,0.4458333333333333,0.0,1,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
5,25.0,30.0,710,142.0,710,0,0,6,0.452112676056338,0.0,0,0.0,0,0.0,0.0,0.0,64.09436619718309,8.514170248522719,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
6,30.0,35.0,715,143.0,713,2,0,6,0.4489510489510489,0.0,1,0.0,0,0.0,0.0,0.0,64.06153846153846,8.512376206564616,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
7,35.0,40.0,709,141.8,709,0,0,6,0.4527503526093089,0.0,0,0.0,0,0.0,0.0,0.0,64.1311706629055,8.514386823118553,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
8,40.0,45.0,720,144.0,716,4,0,6,0.4458333333333333,0.0,1,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
9,45.0,50.0,708,141.6,708,0,0,6,0.4533898305084746,0.0,0,0.0,0,0.0,0.0,0.0,64.09322033898304,8.514182871444556,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
10,50.0,55.0,710,142.0,708,2,0,6,0.4507042253521127,0.0,1,0.0,0,0.0,0.0,0.0,64.07042253521126,8.512995771440414,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
11,55.0,60.0,708,141.6,708,0,0,6,0.4533898305084746,0.0,0,0.0,0,0.0,0.0,0.0,64.11864406779661,8.513866547296647,20260127-133943_baseline_ro_scan,baseline_ro_scan,1,1
1,5.0,10.0,172,34.4,76,96,0,6,0.2674418604651162,0.0,1,0.0,0,0.0,0.0,0.0,59.54651162790697,6.9225902141554325,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
2,10.0,15.0,158,31.6,66,92,0,6,0.2911392405063291,0.0,1,0.0,0,0.0,0.0,0.0,59.550632911392405,6.910409931560363,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
3,15.0,20.0,156,31.2,64,92,0,6,0.2948717948717949,0.0,1,0.0,0,0.0,0.0,0.0,59.48717948717949,6.864519685035944,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
4,20.0,25.0,160,32.0,70,90,0,6,0.28125,0.0,1,0.0,0,0.0,0.0,0.0,59.71875,7.027776920015318,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
5,25.0,30.0,160,32.0,68,92,0,6,0.2875,0.0,1,0.0,0,0.0,0.0,0.0,59.6125,6.954303973080278,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
6,30.0,35.0,166,33.2,72,94,0,6,0.2771084337349397,0.0,1,0.0,0,0.0,0.0,0.0,59.57831325301205,6.9379704020313415,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
7,35.0,40.0,172,34.4,74,98,0,6,0.2674418604651162,0.0,1,0.0,0,0.0,0.0,0.0,59.343023255813954,6.780084390942075,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
8,40.0,45.0,158,31.6,66,92,0,6,0.2911392405063291,0.0,1,0.0,0,0.0,0.0,0.0,59.550632911392405,6.910409931560363,20260127-134123_baseline_write_inj,baseline_write_inj,2,1
