win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,140,28.0,140,0,0,8,0.17142857142857143,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
1,5.0,10.0,148,29.6,144,4,0,8,0.17567567567567569,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890424
2,10.0,15.0,136,27.2,132,4,0,8,0.15441176470588236,0.0,1,0.0,0,0.0,0.0,0.0,63.98529411764706,8.499987278638956
3,15.0,20.0,136,27.2,136,0,0,8,0.18382352941176472,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
4,20.0,25.0,144,28.8,140,4,0,8,0.16666666666666666,0.0,1,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155865
5,25.0,30.0,140,28.0,136,4,0,8,0.16428571428571428,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
6,30.0,35.0,148,29.6,144,4,0,8,0.16891891891891891,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425
7,35.0,40.0,148,29.6,140,8,0,8,0.1554054054054054,0.0,1,0.0,0,0.0,0.0,0.0,63.554054054054056,8.475946717260259
8,40.0,45.0,132,26.4,132,0,0,8,0.17424242424242425,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
9,45.0,50.0,144,28.8,140,4,0,8,0.16666666666666666,0.0,1,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155865
10,50.0,55.0,144,28.8,140,4,0,8,0.1736111111111111,0.0,1,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155865
11,55.0,60.0,152,30.4,144,8,0,8,0.15789473684210525,0.0,1,0.0,0,0.0,0.0,0.0,63.578947368421055,8.47793290020555
12,60.0,65.0,4,0.8,4,0,0,4,0.25,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
