win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,72,14.4,72,0,0,4,0.3611111111111111,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
1,5.0,10.0,66,13.2,66,0,0,4,0.3484848484848485,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
2,10.0,15.0,68,13.6,66,2,0,4,0.3235294117647059,0.0,0,0.0,0,0.0,0.0,0.0,63.98529411764706,8.499987278638965
3,15.0,20.0,70,14.0,70,0,0,4,0.35714285714285715,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
4,20.0,25.0,74,14.8,70,4,0,4,0.32432432432432434,0.0,0,0.0,0,0.0,0.0,0.0,63.554054054054056,8.475946717260259
5,25.0,30.0,70,14.0,68,2,0,4,0.32857142857142857,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
6,30.0,35.0,82,16.4,76,6,0,4,0.2926829268292683,0.0,0,0.0,0,0.0,0.0,0.0,63.21951219512195,8.442090236838531
7,35.0,40.0,66,13.2,66,0,0,4,0.36363636363636365,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
8,40.0,45.0,74,14.8,72,2,0,4,0.33783783783783783,0.0,0,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425
9,45.0,50.0,70,14.0,70,0,0,4,0.35714285714285715,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
10,50.0,55.0,70,14.0,70,0,0,4,0.35714285714285715,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
11,55.0,60.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554
