win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,714,142.8,712,2,0,6,0.4523809523809524,0.0,0,0.0,0,0.0,0.0,0.0,64.07282913165267,8.512983401474024
1,5.0,10.0,726,145.2,722,4,0,6,0.4462809917355372,0.0,0,0.0,0,0.0,0.0,0.0,64.0068870523416,8.511939885395522
2,10.0,15.0,712,142.4,712,0,0,6,0.45365168539325845,0.0,0,0.0,0,0.0,0.0,0.0,64.12078651685393,8.513836421810486
3,15.0,20.0,718,143.6,716,2,0,6,0.44986072423398327,0.0,0,0.0,0,0.0,0.0,0.0,64.07520891364902,8.512970500306283
4,20.0,25.0,714,142.8,714,0,0,6,0.45098039215686275,0.0,0,0.0,0,0.0,0.0,0.0,64.09663865546219,8.514144758592652
5,25.0,30.0,722,144.4,718,4,0,6,0.4487534626038781,0.0,0,0.0,0,0.0,0.0,0.0,64.02908587257618,8.51187773639131
6,30.0,35.0,710,142.0,710,0,0,6,0.4535211267605634,0.0,0,0.0,0,0.0,0.0,0.0,64.11971830985915,8.51385150952761
7,35.0,40.0,716,143.2,714,2,0,6,0.4511173184357542,0.0,0,0.0,0,0.0,0.0,0.0,64.04888268156425,8.513158489461038
8,40.0,45.0,710,142.0,710,0,0,6,0.45211267605633804,0.0,0,0.0,0,0.0,0.0,0.0,64.11971830985915,8.51385150952761
9,45.0,50.0,720,144.0,718,2,0,6,0.45,0.0,0,0.0,0,0.0,0.0,0.0,64.0513888888889,8.513151477037587
10,50.0,55.0,714,142.8,712,2,0,6,0.45098039215686275,0.0,0,0.0,0,0.0,0.0,0.0,64.07282913165267,8.512983401474024
11,55.0,60.0,724,144.8,720,4,0,6,0.44613259668508287,0.0,0,0.0,0,0.0,0.0,0.0,64.0303867403315,8.51188083328498
12,60.0,65.0,12,2.4,12,0,0,2,0.5,0.0,0,0.0,0,0.0,0.0,0.0,63.0,8.455767262643882
