win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,720,144.0,716,4,0,6,0.44722222222222224,0.0,1,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304
1,5.0,10.0,710,142.0,710,0,0,6,0.45211267605633804,0.0,0,0.0,0,0.0,0.0,0.0,64.11971830985915,8.51385150952761
2,10.0,15.0,718,143.6,712,6,0,6,0.44707520891364905,0.0,1,0.0,0,0.0,0.0,0.0,63.95264623955432,8.510389355411576
3,15.0,20.0,722,144.4,716,6,0,6,0.4445983379501385,0.0,1,0.0,0,0.0,0.0,0.0,63.98060941828255,8.510522127709164
4,20.0,25.0,710,142.0,710,0,0,6,0.4535211267605634,0.0,0,0.0,0,0.0,0.0,0.0,64.11971830985915,8.51385150952761
5,25.0,30.0,716,143.2,712,4,0,6,0.4483240223463687,0.0,1,0.0,0,0.0,0.0,0.0,64.02513966480447,8.511867125592063
6,30.0,35.0,716,143.2,712,4,0,6,0.4483240223463687,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.511904250312057
7,35.0,40.0,722,144.4,714,8,0,6,0.44321329639889195,0.0,1,0.0,0,0.0,0.0,0.0,63.93213296398892,8.508890129737148
8,40.0,45.0,718,143.6,716,2,0,6,0.44707520891364905,0.0,1,0.0,0,0.0,0.0,0.0,64.07520891364902,8.512970500306283
9,45.0,50.0,709,141.8,709,0,0,6,0.4541607898448519,0.0,0,0.0,0,0.0,0.0,0.0,64.0818053596615,8.513596135983185
10,50.0,55.0,715,143.0,713,2,0,6,0.4489510489510489,0.0,1,0.0,0,0.0,0.0,0.0,64.08531468531469,8.513567600752435
11,55.0,60.0,708,141.6,708,0,0,6,0.4533898305084746,0.0,0,0.0,0,0.0,0.0,0.0,64.11864406779661,8.513866547296647
12,60.0,65.0,4,0.8,4,0,0,2,0.5,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
