win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,156,31.2,152,4,0,8,0.16666666666666666,0.0,1,0.0,0,0.0,0.0,0.0,64.05128205128206,8.501730496391161
1,5.0,10.0,152,30.4,144,8,0,8,0.15789473684210525,0.0,1,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205552
2,10.0,15.0,148,29.6,144,4,0,8,0.16216216216216217,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425
3,15.0,20.0,140,28.0,136,4,0,8,0.17142857142857143,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
4,20.0,25.0,136,27.2,136,0,0,8,0.17647058823529413,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
5,25.0,30.0,140,28.0,136,4,0,8,0.16428571428571428,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
6,30.0,35.0,152,30.4,144,8,0,8,0.15789473684210525,0.0,1,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205547
7,35.0,40.0,136,27.2,136,0,0,8,0.18382352941176472,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
8,40.0,45.0,148,29.6,144,4,0,8,0.16216216216216217,0.0,1,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425
9,45.0,50.0,140,28.0,136,4,0,8,0.17142857142857143,0.0,1,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
10,50.0,55.0,136,27.2,136,0,0,8,0.17647058823529413,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
11,55.0,60.0,156,31.2,144,12,0,8,0.14743589743589744,0.0,1,0.0,0,0.0,0.0,0.0,63.15384615384615,8.43387085001857
12,60.0,65.0,16,3.2,12,4,0,8,0.1875,0.0,1,0.0,0,0.0,0.0,0.0,60.125,7.440388094716565
