win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,150,30.0,0,0,150,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
1,5.0,10.0,144,28.8,0,0,144,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
2,10.0,15.0,150,30.0,0,0,150,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
3,15.0,20.0,144,28.8,0,0,144,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
4,20.0,25.0,148,29.6,0,0,148,6,0.16891891891891891,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
5,25.0,30.0,146,29.2,0,0,146,6,0.17123287671232876,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
6,30.0,35.0,148,29.6,0,0,148,6,0.16891891891891891,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
7,35.0,40.0,146,29.2,0,0,146,6,0.17123287671232876,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
8,40.0,45.0,144,28.8,0,0,144,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
9,45.0,50.0,148,29.6,0,0,148,6,0.16891891891891891,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
10,50.0,55.0,146,29.2,0,0,146,6,0.17123287671232876,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
11,55.0,60.0,144,28.8,0,0,144,6,0.16666666666666666,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
12,60.0,65.0,4,0.8,0,0,4,4,0.25,0.0,0,0.0,0,0.0,0.0,0.0,66.5,10.5
