win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,78,15.6,74,4,0,4,0.32051282051282054,0.0,0,0.0,0,0.0,0.0,0.0,63.6025641025641,8.479749245793288
1,5.0,10.0,68,13.6,66,2,0,4,0.3382352941176471,0.0,0,0.0,0,0.0,0.0,0.0,63.98529411764706,8.499987278638965
2,10.0,15.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554
3,15.0,20.0,70,14.0,68,2,0,4,0.32857142857142857,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
4,20.0,25.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.500805608155872
5,25.0,30.0,68,13.6,68,0,0,4,0.35294117647058826,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
6,30.0,35.0,64,12.8,64,0,0,4,0.359375,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
7,35.0,40.0,74,14.8,70,4,0,4,0.32432432432432434,0.0,0,0.0,0,0.0,0.0,0.0,63.554054054054056,8.475946717260259
8,40.0,45.0,70,14.0,70,0,0,4,0.34285714285714286,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
9,45.0,50.0,74,14.8,70,4,0,4,0.3108108108108108,0.0,0,0.0,0,0.0,0.0,0.0,63.554054054054056,8.475946717260259
10,50.0,55.0,80,16.0,74,6,0,4,0.3,0.0,0,0.0,0,0.0,0.0,0.0,63.1875,8.43814812325548
11,55.0,60.0,64,12.8,64,0,0,4,0.359375,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
12,60.0,65.0,2,0.4,2,0,0,2,0.5,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
